"","Package","Version"
"RPostgreSQL","RPostgreSQL","0.7-4"
"rprojroot.1","rprojroot","2.0.3"
"rsample","rsample","1.1.0"
"rsconnect","rsconnect","0.8.27"
"RSpectra","RSpectra","0.16-1"
"RSQLite","RSQLite","2.2.16"
"rstudioapi.1","rstudioapi","0.14"
"rsvg","rsvg","2.3.1"
"Rtsne","Rtsne","0.16"
"RUnit","RUnit","0.4.32"
"rversions.1","rversions","2.1.1"
"s2","s2","1.1.0"
"sandwich","sandwich","3.0-2"
"sass.1","sass","0.4.2"
"scales.1","scales","1.2.1"
"scatterplot3d","scatterplot3d","0.3-41"
"selectr.1","selectr","0.4-2"
"sessioninfo.1","sessioninfo","1.2.2"
"setRNG","setRNG","2022.4-1"
"sf","sf","1.0-8"
"sfsmisc","sfsmisc","1.1-13"
"shiny.1","shiny","1.7.2"
"slider","slider","0.2.2"
"sodium","sodium","1.2.1"
"sourcetools.1","sourcetools","0.1.7"
"sp","sp","1.5-0"
"SparseM.1","SparseM","1.81"
"spatstat","spatstat","2.3-4"
"spatstat.core","spatstat.core","2.4-4"
"spatstat.data","spatstat.data","2.2-0"
"spatstat.geom","spatstat.geom","2.4-0"
"spatstat.linnet","spatstat.linnet","2.3-2"
"spatstat.random","spatstat.random","2.2-0"
"spatstat.sparse","spatstat.sparse","2.1-1"
"spatstat.utils","spatstat.utils","2.3-1"
"spelling","spelling","2.2"
"SQUAREM","SQUAREM","2021.1"
"statmod","statmod","1.4.37"
"stringi.1","stringi","1.7.8"
"stringr.1","stringr","1.4.1"
"svglite.1","svglite","2.1.0"
"swagger","swagger","3.33.1"
"sys.1","sys","3.4"
"systemfonts.1","systemfonts","1.0.4"
"TeachingDemos","TeachingDemos","2.12"
"tensor","tensor","1.5"
"terra","terra","1.6-7"
"testit","testit","0.13"
"testthat.1","testthat","3.1.4"
"textshaping","textshaping","0.3.6"
"TH.data","TH.data","1.1-1"
"thematic","thematic","0.1.2.1"
"themis","themis","1.0.0"
"tibble.1","tibble","3.1.8"
"tidyr.1","tidyr","1.2.0"
"tidyselect.1","tidyselect","1.1.2"
"tikzDevice","tikzDevice","0.12.3.1"
"timeDate","timeDate","4021.104"
"timereg","timereg","2.0.2"
"timeSeries","timeSeries","4021.104"
"tinytex.1","tinytex","0.41"
"transformr","transformr","0.1.4"
"tseries","tseries","0.10-51"
"TTR","TTR","0.24.3"
"tufte","tufte","0.12"
"tweenr.1","tweenr","2.0.1"
"tzdb.1","tzdb","0.3.0"
"units","units","0.8-0"
"urlchecker.1","urlchecker","1.0.1"
"usethis.1","usethis","2.1.6"
"utf8.1","utf8","1.2.2"
"vctrs.1","vctrs","0.4.1"
"vdiffr","vdiffr","1.0.4"
"vegan","vegan","2.6-2"
"viridis.1","viridis","0.6.2"
"viridisLite.1","viridisLite","0.4.1"
"vroom.1","vroom","1.5.7"
"waldo.1","waldo","0.4.0"
"warp","warp","0.2.0"
"webfakes","webfakes","1.1.3"
"webutils","webutils","1.1"
"whisker.1","whisker","0.4"
"withr.1","withr","2.5.0"
"wk","wk","0.6.0"
"wkutils","wkutils","0.1.1"
"xfun.1","xfun","0.32"
"XML","XML","3.99-0.10"
"xml2.1","xml2","1.3.3"
"xopen.1","xopen","1.0.0"
"xtable.1","xtable","1.8-4"
"xts","xts","0.12.1"
"yaml.1","yaml","2.3.5"
"zip.1","zip","2.2.0"
"zoo","zoo","1.8-10"
"base","base","4.2.2"
"boot","boot","1.3-28"
"class","class","7.3-21"
"cluster","cluster","2.1.4"
"codetools","codetools","0.2-19"
"compiler","compiler","4.2.2"
"datasets","datasets","4.2.2"
"foreign","foreign","0.8-82"
"graphics","graphics","4.2.2"
"grDevices","grDevices","4.2.2"
"grid","grid","4.2.2"
"KernSmooth","KernSmooth","2.23-20"
"lattice","lattice","0.20-45"
"MASS","MASS","7.3-58.2"
"Matrix.1","Matrix","1.5-1"
"methods","methods","4.2.2"
"mgcv","mgcv","1.8-41"
"nlme","nlme","3.1-162"
"nnet","nnet","7.3-18"
"parallel","parallel","4.2.2"
"rpart","rpart","4.1.19"
"spatial","spatial","7.3-15"
"splines","splines","4.2.2"
"stats","stats","4.2.2"
"stats4","stats4","4.2.2"
"survival","survival","3.5-3"
"tcltk","tcltk","4.2.2"
"tools","tools","4.2.2"
"utils","utils","4.2.2"
